4.0940793690198335e-27,5.6309313189250372e-27,7.0892831570444789e-27,8.0991729496026535e-27,8.4614851977667239e-27,8.0248609503741660e-27,6.8541885090692231e-27,5.3054119394628668e-27,3.7228197622791418e-27,2.3868509834947022e-27,1.4280830437713954e-27,8.1173563816505619e-28,4.3810119919630344e-28,2.2704307537323783e-28,1.1511022873476169e-28,5.7149018194504211e-29,2.7952642180950952e-29,1.3544662830076098e-29
5.6309313189250372e-27,7.7984877984811308e-27,9.8799234650862413e-27,1.1376935824616035e-26,1.1997439426745349e-26,1.1510256019840828e-26,9.9646923434987922e-27,7.8297562753341304e-27,5.5866377182813566e-27,3.6469782911279317e-27,2.2225827201843954e-27,1.2863533405466582e-27,7.0643478486057591e-28,3.7205437284781412e-28,1.9133305176665513e-28,9.6167962325845841e-29,4.7525555924282334e-29,2.3224798087977498e-29
7.0892831570444789e-27,9.8799234650862442e-27,1.2637892737297540e-26,1.4688399614846145e-26,1.5670804033956571e-26,1.5252569801145849e-26,1.3429737258196039e-26,1.0753468285097527e-26,7.8357997560350347e-27,5.2329365103427566e-27,3.2642062818407635e-27,1.9328953736093680e-27,1.0851937966098472e-27,5.8339407104239852e-28,3.0553167558203199e-28,1.5602029225772637e-28,7.8142831038273220e-29,3.8611327562333969e-29
8.0991729496026535e-27,1.1376935824616035e-26,1.4688399614846148e-26,1.7285783578105941e-26,1.8683092247648726e-26,1.8492750083387505e-26,1.6608068709224736e-26,1.3595852592468261e-26,1.0154432161595546e-26,6.9648440060604710e-27,4.4648624531122193e-27,2.7158103335455246e-27,1.5648655845220520e-27,8.6190405852039446e-28,4.6124530296347519e-28,2.4003056748833251e-28,1.2216669248370868e-28,6.1176399191472442e-29
8.4614851977667225e-27,1.1997439426745351e-26,1.5670804033956571e-26,1.8683092247648726e-26,2.0544851307999966e-26,2.0737503368588104e-26,1.9071089744182961e-26,1.6032107488800874e-26,1.2333856922268461e-26,8.7349031138841513e-27,5.7859611801464355e-27,3.6344852845987592e-27,2.1605263394059648e-27,1.2252405385959068e-27,6.7305435134346365e-28,3.5841927516664443e-28,1.8605939487868434e-28,9.4727182975800913e-29
8.0248609503741660e-27,1.1510256019840828e-26,1.5252569801145849e-26,1.8492750083387502e-26,2.0737503368588102e-26,2.1487790467436720e-26,2.0342583151482012e-26,1.7676088211991807e-26,1.4108758961714183e-26,1.0396644359032012e-26,7.1715063870337225e-27,4.6876303536973805e-27,2.8961449085016976e-27,1.7030230364561582e-27,9.6654477550117502e-28,5.2983772899144838e-28,2.8201901866271093e-28,1.4665902682247255e-28
6.8541885090692260e-27,9.9646923434987922e-27,1.3429737258196036e-26,1.6608068709224741e-26,1.9071089744182961e-26,2.0342583151482012e-26,1.9966528321380488e-26,1.8023366161600817e-26,1.5018896873773698e-26,1.1590667031068123e-26,8.3797387671469103e-27,5.7353808229337002e-27,3.7053130535256297e-27,2.2725565625522994e-27,1.3399483053072516e-27,7.6004159007744232e-28,4.1679301276206366e-28,2.2234498398037262e-28
5.3054119394628675e-27,7.8297562753341304e-27,1.0753468285097527e-26,1.3595852592468261e-26,1.6032107488800874e-26,1.7676088211991810e-26,1.8023366161600814e-26,1.7013575272567502e-26,1.4855275023168549e-26,1.2062237613624697e-26,9.1819565424771464e-27,6.6097085460713559e-27,4.4850317731016505e-27,2.8818612563096475e-27,1.7730284363935705e-27,1.0450943051787924e-27,5.9290232351208636e-28,3.2572880487125253e-28
3.7228197622791418e-27,5.5866377182813581e-27,7.8357997560350333e-27,1.0154432161595546e-26,1.2333856922268461e-26,1.4108758961714183e-26,1.5018896873773698e-26,1.4855275023168555e-26,1.3694844463769250e-26,1.1742675761234331e-26,9.4564467950470654e-27,7.1935854970223316e-27,5.1517861753755269e-27,3.4853913282357345e-27,2.2487840388547360e-27,1.3844069631044613e-27,8.1655112986373807e-28,4.6416690966124110e-28
2.3868509834947015e-27,3.6469782911279331e-27,5.2329365103427573e-27,6.9648440060604725e-27,8.7349031138841484e-27,1.0396644359032015e-26,1.1590667031068123e-26,1.2062237613624693e-26,1.1742675761234331e-26,1.0708012473004669e-26,9.1403626825214051e-27,7.3736063310408658e-27,5.5946798281489473e-27,4.0017364287880609e-27,2.7195336440815111e-27,1.7565610479411797e-27,1.0821570924524384e-27,6.3942178367152276e-28
