# L1_m9 fgas-2sigma lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; masked q>1 (qfrommz_alpha_fixed_1p12); r=max(4*theta500, 2x10arcmin), C2 apodization 0.25 deg, masked monopole subtracted, NaMaster MASTER per-ell (nlb=1, lmax=10000); uniform mean of D_ell over inclusive Planck bins
# ell_eff  1e12_D_ell_yy
1.000000e+01 6.547020e-04
1.350000e+01 9.276624e-04
1.800000e+01 1.802999e-03
2.350000e+01 2.927907e-03
3.050000e+01 3.980393e-03
4.000000e+01 5.673066e-03
5.250000e+01 8.425613e-03
6.850000e+01 1.135458e-02
8.950000e+01 1.734756e-02
1.170000e+02 2.582111e-02
1.525000e+02 3.501414e-02
1.980000e+02 5.058714e-02
2.575000e+02 7.272601e-02
3.355000e+02 1.060719e-01
4.365000e+02 1.498886e-01
5.675000e+02 2.126533e-01
7.380000e+02 2.909219e-01
9.595000e+02 3.924210e-01
