# L1_m9 Jet lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; masked q>20 (qfrommz_alpha_fixed_1p12); r=max(4*theta500, 2x10arcmin), C2 apodization 0.25 deg, masked monopole subtracted, NaMaster MASTER per-ell (nlb=1, lmax=10000); uniform mean of C_ell in log bins, Delta ln ell = 0.4, ell_max = 10000
# ell_eff  1e12_D_ell_yy
1.005184e+02 5.624431e-02
1.499558e+02 9.606686e-02
2.237077e+02 1.582861e-01
3.337327e+02 2.590985e-01
4.978707e+02 4.073359e-01
7.427358e+02 6.071585e-01
1.108032e+03 8.611069e-01
1.652989e+03 1.121971e+00
2.465970e+03 1.328381e+00
3.678794e+03 1.411013e+00
5.488116e+03 1.311682e+00
8.187308e+03 1.066289e+00
