# L1_m9 Mstar-1sigma lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; masked q>5 (qfrommap); r=max(4*theta500, 2x10arcmin), C2 apodization 0.25 deg, masked monopole subtracted, NaMaster MASTER per-ell (nlb=1, lmax=10000); uniform mean of D_ell over inclusive Planck bins
# ell_eff  1e12_D_ell_yy
1.000000e+01 1.036690e-03
1.350000e+01 1.423923e-03
1.800000e+01 2.252589e-03
2.350000e+01 4.052031e-03
3.050000e+01 5.109240e-03
4.000000e+01 7.393816e-03
5.250000e+01 1.124970e-02
6.850000e+01 1.569539e-02
8.950000e+01 2.211365e-02
1.170000e+02 3.210283e-02
1.525000e+02 4.651504e-02
1.980000e+02 6.640529e-02
2.575000e+02 9.349681e-02
3.355000e+02 1.390724e-01
4.365000e+02 1.975695e-01
5.675000e+02 2.821699e-01
7.380000e+02 3.916964e-01
9.595000e+02 5.413928e-01
