# L1_m9 fgas-4sigma lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; masked q>10 (qfrommz_alpha_fixed_1p12); r=max(4*theta500, 2x10arcmin), C2 apodization 0.25 deg, masked monopole subtracted, NaMaster MASTER per-ell (nlb=1, lmax=10000); uniform mean of C_ell in log bins, Delta ln ell = 0.4, ell_max = 10000
# ell_eff  1e12_D_ell_yy
1.005184e+02 5.830986e-02
1.499558e+02 9.991318e-02
2.237077e+02 1.623189e-01
3.337327e+02 2.614570e-01
4.978707e+02 4.119112e-01
7.427358e+02 6.090606e-01
1.108032e+03 8.534564e-01
1.652989e+03 1.097706e+00
2.465970e+03 1.268811e+00
3.678794e+03 1.298354e+00
5.488116e+03 1.139458e+00
8.187308e+03 8.479287e-01
