# L1_m9 fgas-4sigma lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; masked q>3 (qfrommz_alpha_fixed_1p12); r=max(4*theta500, 2x10arcmin), C2 apodization 0.25 deg, masked monopole subtracted, NaMaster MASTER per-ell (nlb=1, lmax=10000); uniform mean of D_ell over inclusive Planck bins
# ell_eff  1e12_D_ell_yy
1.000000e+01 1.379330e-03
1.350000e+01 1.574140e-03
1.800000e+01 2.545561e-03
2.350000e+01 4.522586e-03
3.050000e+01 6.195165e-03
4.000000e+01 8.444818e-03
5.250000e+01 1.294182e-02
6.850000e+01 1.917085e-02
8.950000e+01 2.772501e-02
1.170000e+02 3.933676e-02
1.525000e+02 5.783585e-02
1.980000e+02 8.002053e-02
2.575000e+02 1.099154e-01
3.355000e+02 1.563122e-01
4.365000e+02 2.140379e-01
5.675000e+02 2.936178e-01
7.380000e+02 3.898120e-01
9.595000e+02 5.137668e-01
