# L1_m9 fgas-4sigma lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; masked q>20 (qfrommz_alpha_fixed_1p12); r=max(4*theta500, 2x10arcmin), C2 apodization 0.25 deg, masked monopole subtracted, NaMaster MASTER per-ell (nlb=1, lmax=10000); uniform mean of D_ell over inclusive Planck bins
# ell_eff  1e12_D_ell_yy
1.000000e+01 2.689784e-03
1.350000e+01 3.277909e-03
1.800000e+01 5.654264e-03
2.350000e+01 8.509005e-03
3.050000e+01 1.062832e-02
4.000000e+01 1.539461e-02
5.250000e+01 2.577477e-02
6.850000e+01 3.527078e-02
8.950000e+01 5.282673e-02
1.170000e+02 7.497285e-02
1.525000e+02 1.061099e-01
1.980000e+02 1.463376e-01
2.575000e+02 1.984552e-01
3.355000e+02 2.747107e-01
4.365000e+02 3.660882e-01
5.675000e+02 4.853089e-01
7.380000e+02 6.164390e-01
9.595000e+02 7.746617e-01
