# L1_m9 fgas+2sigma lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; masked q>10 (qfrommz_alpha_fixed_1p12); r=max(4*theta500, 2x10arcmin), C2 apodization 0.25 deg, masked monopole subtracted, NaMaster MASTER per-ell (nlb=1, lmax=10000); uniform mean of D_ell over inclusive Planck bins
# ell_eff  1e12_D_ell_yy
1.000000e+01 2.584199e-03
1.350000e+01 2.946634e-03
1.800000e+01 4.997485e-03
2.350000e+01 7.803072e-03
3.050000e+01 9.975628e-03
4.000000e+01 1.409065e-02
5.250000e+01 2.319201e-02
6.850000e+01 3.287591e-02
8.950000e+01 4.864747e-02
1.170000e+02 6.838800e-02
1.525000e+02 9.786161e-02
1.980000e+02 1.385833e-01
2.575000e+02 1.903466e-01
3.355000e+02 2.690777e-01
4.365000e+02 3.636479e-01
5.675000e+02 4.919566e-01
7.380000e+02 6.395205e-01
9.595000e+02 8.231904e-01
