# L1_m9 fgas-8sigma lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; masked q>3 (qfrommz_alpha_fixed_1p12); r=max(4*theta500, 2x10arcmin), C2 apodization 0.25 deg, masked monopole subtracted, NaMaster MASTER per-ell (nlb=1, lmax=10000); uniform mean of C_ell in log bins, Delta ln ell = 0.4, ell_max = 10000
# ell_eff  1e12_D_ell_yy
1.005184e+02 2.919808e-02
1.499558e+02 4.966484e-02
2.237077e+02 8.465481e-02
3.337327e+02 1.416701e-01
4.978707e+02 2.303789e-01
7.427358e+02 3.580730e-01
1.108032e+03 5.322929e-01
1.652989e+03 7.212653e-01
2.465970e+03 8.676744e-01
3.678794e+03 9.085943e-01
5.488116e+03 7.951482e-01
8.187308e+03 5.752698e-01
