# L2p8_m9_lc3 masked tSZ, q>50 (qfrommap); synthetic-data masking: r=max(4*theta500, 2x10arcmin), C2 apodization 0.25 deg, masked monopole subtracted, NaMaster MASTER per-ell, pixwin deconvolved; uniform mean over inclusive Planck bins
# ell_eff  1e12_D_ell_yy
1.000000e+01 2.471550e-03
1.350000e+01 4.248247e-03
1.800000e+01 7.443140e-03
2.350000e+01 1.197994e-02
3.050000e+01 1.626070e-02
4.000000e+01 2.322466e-02
5.250000e+01 3.482692e-02
6.850000e+01 5.338911e-02
8.950000e+01 7.814292e-02
1.170000e+02 1.034336e-01
1.525000e+02 1.492368e-01
1.980000e+02 2.020885e-01
2.575000e+02 2.767655e-01
3.355000e+02 3.721621e-01
4.365000e+02 4.920304e-01
5.675000e+02 6.364289e-01
7.380000e+02 7.996513e-01
9.595000e+02 9.824532e-01
