# L2p8_m9_lc4 masked tSZ, q>50 (qfrommap); synthetic-data masking: r=max(4*theta500, 2x10arcmin), C2 apodization 0.25 deg, masked monopole subtracted, NaMaster MASTER per-ell, pixwin deconvolved; uniform mean over inclusive Planck bins
# ell_eff  1e12_D_ell_yy
1.000000e+01 3.206900e-03
1.350000e+01 5.887382e-03
1.800000e+01 7.662409e-03
2.350000e+01 1.205454e-02
3.050000e+01 1.786468e-02
4.000000e+01 2.404081e-02
5.250000e+01 4.000496e-02
6.850000e+01 5.587345e-02
8.950000e+01 7.957420e-02
1.170000e+02 1.151009e-01
1.525000e+02 1.574874e-01
1.980000e+02 2.167492e-01
2.575000e+02 2.978798e-01
3.355000e+02 3.845432e-01
4.365000e+02 5.052984e-01
5.675000e+02 6.410754e-01
7.380000e+02 8.010734e-01
9.595000e+02 9.769310e-01
