# Mstar-1sigma qgt50
# ell  D_ell = ell(ell+1)C_ell/2pi
1.650000e+01 7.245414e-15
4.650000e+01 3.247008e-14
7.650000e+01 6.324524e-14
1.065000e+02 1.023806e-13
1.365000e+02 1.382737e-13
1.665000e+02 1.758393e-13
1.965000e+02 2.147076e-13
2.265000e+02 2.476244e-13
2.565000e+02 2.853709e-13
2.865000e+02 3.175184e-13
3.165000e+02 3.612261e-13
3.465000e+02 3.928017e-13
3.765000e+02 4.290927e-13
4.065000e+02 4.562030e-13
4.365000e+02 4.989560e-13
4.665000e+02 5.198189e-13
4.965000e+02 5.584347e-13
5.265000e+02 5.943641e-13
5.565000e+02 6.168468e-13
5.865000e+02 6.454612e-13
6.165000e+02 6.688225e-13
6.465000e+02 7.029673e-13
6.765000e+02 7.147832e-13
7.065000e+02 7.492648e-13
7.365000e+02 7.841104e-13
7.665000e+02 8.041241e-13
7.965000e+02 8.329405e-13
8.265000e+02 8.434471e-13
8.565000e+02 8.751615e-13
8.865000e+02 8.995792e-13
9.165000e+02 9.172574e-13
9.465000e+02 9.421649e-13
9.765000e+02 9.703374e-13
1.006500e+03 9.813598e-13
1.036500e+03 1.005133e-12
1.066500e+03 1.026278e-12
1.096500e+03 1.042723e-12
1.126500e+03 1.051326e-12
1.156500e+03 1.082909e-12
1.186500e+03 1.095830e-12
1.216500e+03 1.124763e-12
1.246500e+03 1.143678e-12
1.276500e+03 1.155111e-12
1.306500e+03 1.170111e-12
1.336500e+03 1.181054e-12
1.366500e+03 1.209525e-12
1.396500e+03 1.207104e-12
1.426500e+03 1.228222e-12
1.456500e+03 1.242866e-12
1.486500e+03 1.252180e-12
1.516500e+03 1.264077e-12
1.546500e+03 1.281167e-12
1.576500e+03 1.295777e-12
1.606500e+03 1.307205e-12
1.636500e+03 1.311449e-12
1.666500e+03 1.332521e-12
1.696500e+03 1.351430e-12
1.726500e+03 1.358852e-12
1.756500e+03 1.364698e-12
1.786500e+03 1.375076e-12
1.816500e+03 1.376255e-12
1.846500e+03 1.383455e-12
1.876500e+03 1.389911e-12
1.906500e+03 1.404224e-12
1.936500e+03 1.426749e-12
1.966500e+03 1.426574e-12
1.996500e+03 1.440533e-12
2.026500e+03 1.437182e-12
2.056500e+03 1.444382e-12
2.086500e+03 1.454239e-12
2.116500e+03 1.467485e-12
2.146500e+03 1.467060e-12
2.176500e+03 1.475097e-12
2.206500e+03 1.491996e-12
2.236500e+03 1.494603e-12
2.266500e+03 1.504190e-12
2.296500e+03 1.509838e-12
2.326500e+03 1.506434e-12
2.356500e+03 1.516377e-12
2.386500e+03 1.518799e-12
2.416500e+03 1.526692e-12
2.446500e+03 1.525592e-12
2.476500e+03 1.524553e-12
2.506500e+03 1.550511e-12
2.536500e+03 1.557648e-12
2.566500e+03 1.555196e-12
2.596500e+03 1.544038e-12
2.626500e+03 1.562346e-12
2.656500e+03 1.560935e-12
2.686500e+03 1.562221e-12
2.716500e+03 1.570937e-12
2.746500e+03 1.575781e-12
2.776500e+03 1.577113e-12
2.806500e+03 1.583163e-12
2.836500e+03 1.584946e-12
2.866500e+03 1.586834e-12
2.896500e+03 1.586503e-12
2.926500e+03 1.592593e-12
2.956500e+03 1.584249e-12
2.986500e+03 1.595050e-12
3.016500e+03 1.600965e-12
3.046500e+03 1.590364e-12
3.076500e+03 1.602025e-12
3.106500e+03 1.597011e-12
3.136500e+03 1.595843e-12
3.166500e+03 1.603170e-12
3.196500e+03 1.602606e-12
3.226500e+03 1.593984e-12
3.256500e+03 1.603748e-12
3.286500e+03 1.626875e-12
3.316500e+03 1.622457e-12
3.346500e+03 1.615859e-12
