# Jet qgt5
# ell  D_ell = ell(ell+1)C_ell/2pi
1.650000e+01 2.768108e-15
4.650000e+01 1.286898e-14
7.650000e+01 2.669961e-14
1.065000e+02 3.988387e-14
1.365000e+02 5.747868e-14
1.665000e+02 7.682352e-14
1.965000e+02 9.339087e-14
2.265000e+02 1.131976e-13
2.565000e+02 1.353150e-13
2.865000e+02 1.540232e-13
3.165000e+02 1.802412e-13
3.465000e+02 1.986323e-13
3.765000e+02 2.235567e-13
4.065000e+02 2.429023e-13
4.365000e+02 2.658458e-13
4.665000e+02 2.828581e-13
4.965000e+02 3.083700e-13
5.265000e+02 3.336202e-13
5.565000e+02 3.594485e-13
5.865000e+02 3.783275e-13
6.165000e+02 4.010547e-13
6.465000e+02 4.257406e-13
6.765000e+02 4.407818e-13
7.065000e+02 4.631100e-13
7.365000e+02 4.933615e-13
7.665000e+02 5.099280e-13
7.965000e+02 5.320988e-13
8.265000e+02 5.455515e-13
8.565000e+02 5.717062e-13
8.865000e+02 5.939002e-13
9.165000e+02 6.151960e-13
9.465000e+02 6.317424e-13
9.765000e+02 6.565137e-13
1.006500e+03 6.699526e-13
1.036500e+03 6.994862e-13
1.066500e+03 7.173448e-13
1.096500e+03 7.335022e-13
1.126500e+03 7.456549e-13
1.156500e+03 7.660192e-13
1.186500e+03 7.856220e-13
1.216500e+03 8.050730e-13
1.246500e+03 8.237252e-13
1.276500e+03 8.369077e-13
1.306500e+03 8.519815e-13
1.336500e+03 8.686788e-13
1.366500e+03 8.967688e-13
1.396500e+03 8.922907e-13
1.426500e+03 9.104380e-13
1.456500e+03 9.305652e-13
1.486500e+03 9.381300e-13
1.516500e+03 9.509053e-13
1.546500e+03 9.668793e-13
1.576500e+03 9.823893e-13
1.606500e+03 9.916532e-13
1.636500e+03 1.004216e-12
1.666500e+03 1.025418e-12
1.696500e+03 1.032905e-12
1.726500e+03 1.048130e-12
1.756500e+03 1.051186e-12
1.786500e+03 1.064142e-12
1.816500e+03 1.071273e-12
1.846500e+03 1.076995e-12
1.876500e+03 1.089113e-12
1.906500e+03 1.103704e-12
1.936500e+03 1.123816e-12
1.966500e+03 1.120365e-12
1.996500e+03 1.138232e-12
2.026500e+03 1.138429e-12
2.056500e+03 1.147629e-12
2.086500e+03 1.156969e-12
2.116500e+03 1.174230e-12
2.146500e+03 1.170523e-12
2.176500e+03 1.181056e-12
2.206500e+03 1.199908e-12
2.236500e+03 1.198654e-12
2.266500e+03 1.206015e-12
2.296500e+03 1.218233e-12
2.326500e+03 1.213731e-12
2.356500e+03 1.229206e-12
2.386500e+03 1.232571e-12
2.416500e+03 1.237336e-12
2.446500e+03 1.245815e-12
